symbol,date,HotScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,marketCap
BMNR,2025-11-26 21:17:41,0.7756064690026955,31.74,9.789,1.0840869781381346,44949778.0,12190312448.0
BURL,2025-11-26 21:17:41,0.8656334231805931,260.65,4.40617,1.5860688152246405,1064590.0,16430076928.0
CIFR,2025-11-26 21:17:41,0.7405660377358491,19.15,9.303648,1.0912547333048424,51742653.0,7566012928.0
CLSK,2025-11-26 21:17:41,0.8243935309973045,13.45,13.790187,2.1256766478836786,32618701.0,3595666176.0
COIN,2025-11-26 21:17:41,0.7742587601078166,264.97,4.269639,0.9953065372126044,9561384.0,71447519232.0
CRDO,2025-11-26 21:17:41,0.7665768194070082,164.01,6.375666,0.8279864083524823,6165257.0,28373008384.0
DELL,2025-11-26 21:17:41,0.8892183288409703,133.26,5.82909,2.1174223073496914,7730107.0,89600442368.0
DUOL,2025-11-26 21:17:41,0.9146900269541778,188.43,7.208693,1.3896963562753035,1926600.0,8710620160.0
ECG,2025-11-26 21:17:41,0.7793800539083557,90.71,3.72785,1.254237110988478,478392.0,4626806272.0
ETOR,2025-11-26 21:17:41,0.8194070080862534,41.98,5.1866693,1.4349516609016102,1167378.0,3513893632.0
EWTX,2025-11-26 21:17:41,0.8057951482479785,25.52,6.068167,1.254467889300073,1025764.0,2701762560.0
FBIN,2025-11-26 21:17:41,0.7400269541778975,51.51,3.87174,1.1526844876672293,1587640.0,6188326912.0
FLNC,2025-11-26 21:17:41,0.7963611859838275,18.99,13.237921,1.0873967327734626,7608900.0,3468780800.0
FN,2025-11-26 21:17:41,0.8359838274932616,449.06,4.5079,1.1246110272021903,636934.0,16088565760.0
HNGE,2025-11-26 21:17:41,0.768733153638814,50.05,3.68759,1.8336936893000015,1476318.0,3939906816.0
HOOD,2025-11-26 21:17:41,0.879245283018868,128.2,10.928439,1.3124530443233449,35537503.0,115276013568.0
ICLR,2025-11-26 21:17:41,0.8839622641509433,183.65,5.22546,1.6227562258320225,994084.0,14282851328.0
KLIC,2025-11-26 21:17:41,0.7412398921832885,44.96,3.2139525,2.839407965469264,505984.0,2354240512.0
KSS,2025-11-26 21:17:41,0.8525606469002696,24.1,7.493311,2.9675812870064635,6160917.0,2700999936.0
LITE,2025-11-26 21:17:41,0.8210242587601078,308.28,5.839946,0.9498792970631956,4269573.0,21860933632.0
MESO,2025-11-26 21:17:41,0.8640161725067386,17.37,8.15692,1.83598713624598,242231.0,2236313600.0
