symbol,date,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
MMYT,2026-02-05 19:07:28,0.7727678571428571,0.8125,57.3,3.3177068,1.861086405112495,1335708.0,0.7648809523809523,0.8690476190476191,0.5982142857142857,5451945472.0
MNSO,2026-02-05 19:07:28,0.7331845238095238,0.7886904761904762,19.15,4.1893387,1.5980709961377364,563918.0,0.8511904761904762,0.8065476190476191,0.3705357142857143,5819371520.0
MTSI,2026-02-05 19:07:28,0.8438988095238096,0.9017857142857144,226.54,5.3527393,1.258584952127239,1277031.0,0.9047619047619048,0.7232142857142857,0.9196428571428572,16992965632.0
OHI,2026-02-05 19:07:28,0.7791666666666667,0.7470238095238095,45.89,6.8202987,1.1630550147745728,1858937.0,0.925595238095238,0.6875,0.6994047619047619,13938582528.0
OSW,2026-02-05 19:07:28,0.769047619047619,0.7976190476190477,20.79,3.58745,3.836943663584212,550319.0,0.7886904761904762,0.9732142857142856,0.3630952380952381,2135075584.0
PATK,2026-02-05 19:07:28,0.8697916666666667,0.9613095238095238,142.68,5.9164023,1.5162970333766213,296465.0,0.9166666666666666,0.8005952380952381,0.8630952380952381,4748201472.0
PTC,2026-02-05 19:07:28,0.8377976190476191,0.8988095238095238,157.465,4.0471787,1.7035174397168351,949270.0,0.8422619047619048,0.8303571428571429,0.8125,18808920064.0
ROAD,2026-02-05 19:07:28,0.922172619047619,0.9226190476190476,131.965,14.982139,1.7501593278655063,480142.0,0.9910714285714286,0.8392857142857143,0.9464285714285714,7459536384.0
RRX,2026-02-05 19:07:28,0.9697916666666666,0.9077380952380952,200.715,12.571505,3.848898963891379,805514.0,0.9791666666666666,0.9761904761904762,0.9732142857142856,13325403136.0
SIRI,2026-02-05 19:07:28,0.8511904761904763,0.5535714285714286,22.5,8.538353,4.9134128348956825,4068767.0,0.949404761904762,0.9910714285714286,0.5833333333333334,7576659968.0
SITM,2026-02-05 19:07:28,0.9739583333333331,0.9851190476190476,412.36,18.507874,2.713302956180623,348727.0,1.0,0.9315476190476192,0.9970238095238096,10762855424.0
SNDK,2026-02-05 19:07:28,0.7339285714285715,0.8035714285714286,589.53,0.8519445,1.4556887710498567,14916016.0,0.6517857142857143,0.7767857142857143,0.7678571428571429,86995320832.0
TENB,2026-02-05 19:07:28,0.8495535714285714,0.6726190476190477,21.38,8.41785,3.822434520851415,1547401.0,0.9434523809523808,0.9702380952380952,0.5625,2589010176.0
TPR,2026-02-05 19:07:28,0.8811011904761904,0.8273809523809523,144.5,11.222293,1.4310767515926923,2847537.0,0.9761904761904762,0.7708333333333334,0.9345238095238096,29912295424.0
TSEM,2026-02-05 19:07:28,0.8950892857142857,0.8392857142857143,128.585,6.0232587,2.2969642327179427,1775729.0,0.9196428571428572,0.9166666666666666,0.8422619047619048,14459092992.0
TW,2026-02-05 19:07:28,0.8998511904761906,0.8482142857142857,111.6,10.692322,1.7264143736970257,1256740.0,0.9732142857142856,0.8333333333333334,0.9136904761904762,24382777344.0
UI,2026-02-05 19:07:28,0.7425595238095237,1.0,565.7339,3.1909194,0.924851271637984,119177.0,0.7589285714285714,0.5327380952380952,0.9523809523809524,34226706432.0
WMS,2026-02-05 19:07:28,0.8761904761904762,0.9166666666666666,171.795,7.1976814,1.4629283440605811,642445.0,0.9315476190476192,0.7827380952380952,0.9226190476190476,13359550464.0
XPO,2026-02-05 19:07:28,0.8901785714285715,0.8809523809523809,187.575,4.475328,2.7128643918115283,1430157.0,0.8630952380952381,0.9285714285714286,0.875,22089222144.0
YUMC,2026-02-05 19:07:28,0.7642857142857143,0.8095238095238095,55.27,4.008282,1.2883498674404024,1290363.0,0.8363095238095238,0.7410714285714286,0.65625,19537436672.0
